Zone_1,Elec_Customer_No,Gas_Customer_No,Elec_Old_Stdg_Chrg,Elec_New_Stdg_Chrg,Elec_Old_Unit_1_Inc_Vat,Elec_New_Unit_1_Inc_Vat,Elec_Old_Unit_2_Inc_Vat,Elec_New_Unit_2_Inc_Vat,Elec_Old_Unit_3_Inc_Vat,Elec_New_Unit_3_Inc_VAT,Elec_Old_Unit_4_Inc_VAT,Elec_New_Unit_4_Inc_VAT,Gas_Old_Stdg_Chrg_Inc_Vat,Gas_New_Stdg_Chrg_Inc_Vat,Gas_Old_Unit_1_Inc_Vat,Gas_New_Unit_1_Inc_Vat,Elec_Total_Old_Cost,Elec_Total_New_Cost,Elec_Total_Savings_Cost,Elec_Total_Increase_Cost,Gas_Total_Old_Cost,Gas_Total_New_Cost,Gas_Total_Savings_Cost,Gas_Total_Increase_Cost,Elec_Cheapest_Similar_Tariff,Elec_Cheapest_Similar_Saving,Elec_Cheapest_Overall_Tariff,Elec_Cheapest_Overall_saving,Gas_Cheapest_Similar_Tariff,Gas_Cheapest_Similar_Saving,Gas_Cheapest_Overall_Tariff,Gas_Overall_Saving,Annual_Flag,Elec_Annual_Usage,SPID,Elec_Tariff_Name,Elec_Payment_Method,Gas_Annual_Flag,Gas_Annual_Usage,Gas_SPID,Gas_Tariff_Name,Gas_Payment_Method,Price_Implementation_Date,Total_Change,Total_Old_Costs,Total_New_Costs
_L,20313980,20313980,0.7485,0.7484,0.2545,0.2581,0,0,0,0,0,0,0.3629,0.3629,0.0686,0.0696,707.68,713.74,0,6.06,675.61,683.92,0,8.31,Simpler Energy,46.47,1 Year Fixed Loyalty,62.65,Simpler Energy,45.34,1 Year Fixed Loyalty,61.5,A,1707,N/A,Simpler Energy,On Demand,A,7921.75,N/A,Simpler Energy,,1st January 2025,14.37,1383.29,1397.66
_F,2114008,2114008,0.7875,0.7874,0.244,0.2474,0,0,0,0,0,0,0.3631,0.363,0.0654,0.0665,738.39,744.56,0,6.17,1557.66,1580.5,0,22.84,Simpler Energy,47,1 Year Fixed Loyalty,64.46,Simpler Energy,87.63,1 Year Fixed Loyalty,105.24,A,1848,N/A,Simpler Energy - Economy 7,On Demand,A,21786.03,N/A,Simpler Energy,,1st January 2025,29.01,2296.05,2325.06
_N,21693918,21693918,0.7016,0.7015,0.2521,0.2559,0,0,0,0,0,0,0.3631,0.3631,0.0648,0.0657,1117.03,1129.9,0,12.87,1081,1094.83,0,13.83,Simpler Energy,65.63,1 Year Fixed Loyalty,97.24,Simpler Energy,64.17,1 Year Fixed Loyalty,81.04,A,3415,N/A,Simpler Energy - 2 Rate,On Demand,A,14640.24,N/A,Simpler Energy,,1st January 2025,26.7,2198.03,2224.73
_K,22877799,22877799,0.7018,0.7017,0.2578,0.2616,0,0,0,0,0,0,0.363,0.3629,0.0678,0.0689,311.84,312.62,0,0.78,151.82,152.08,0,0.26,Simpler Energy,25.02,1 Year Fixed Loyalty,27.74,Simpler Energy,17.31,1 Year Fixed Loyalty,32.67,A,216,N/A,Simpler Energy - Flex Rate,On Demand,A,285,N/A,Simpler Energy,,1st January 2025,1.04,463.66,464.7
_M,20585410,20585410,0.7473,0.7472,0.2474,0.2512,0,0,0,0,0,0,0.3631,0.3631,0.0653,0.0664,978.78,989.53,0,10.75,677.85,686.62,0,8.77,Simpler Energy,59.38,1 Year Fixed Loyalty,85.91,Simpler Energy,43.96,1 Year Fixed Loyalty,60.17,A,2854,N/A,Simpler Energy - Economy 10,On Demand,A,8349.82,N/A,Simpler Energy,,1st January 2025,19.52,1656.63,1676.15
_P,21428735,21428735,0.68,0.6799,0.2626,0.2661,0,0,0,0,0,0,0.3631,0.3631,0.0648,0.0657,1038.37,1048.76,0,10.39,910.51,921.85,0,11.34,Simpler Energy,62.12,1 Year Fixed Loyalty,90.06,Simpler Energy,55.76,1 Year Fixed Loyalty,72.35,A,3009,N/A,Simpler Energy - Domestic Economy,On Demand,A,12008.62,N/A,Simpler Energy,,1st January 2025,21.73,1948.88,1970.61
_H,21300691,21300691,0.7091,0.709,0.259,0.2628,0,0,0,0,0,0,0.363,0.363,0.0665,0.0675,738.54,745.5,0,6.96,868.38,880,0,11.62,Simpler Energy,48.53,1 Year Fixed Loyalty,66.02,Simpler Energy,55.48,1 Year Fixed Loyalty,71.97,A,1852,N/A,Simpler Energy - Superdeal,On Demand,A,11071.78,N/A,Simpler Energy,,1st January 2025,18.58,1606.92,1625.5
_G,21371015,21371015,0.5754,0.5754,0.2632,0.2668,0,0,0,0,0,0,0.3631,0.3631,0.0648,0.0658,637.78,643.58,0,5.8,1261.14,1279.44,0,18.3,Simpler Energy,41.79,1 Year Fixed Loyalty,57.23,Simpler Energy,75.17,1 Year Fixed Loyalty,92.33,A,1625,N/A,Simpler Energy - THTC,On Demand,A,17420.96,N/A,Simpler Energy,,1st January 2025,24.1,1898.92,1923.02
_E,24677064,24677064,0.698,0.6979,0.2507,0.2545,0,0,0,0,0,0,0.3631,0.3631,0.0652,0.0663,1048.38,1060.3,0,11.92,1647.57,1671.96,0,24.39,Simpler Energy,62.82,1 Year Fixed Loyalty,92.17,Simpler Energy,95.04,1 Year Fixed Loyalty,112.81,A,3165,N/A,Simpler Energy,On Demand,A,23235,N/A,Simpler Energy,,1st January 2025,36.31,2695.95,2732.26
_A,21837106,21837106,0.5671,0.567,0.2653,0.2691,0,0,0,0,0,0,0.3631,0.3631,0.0648,0.0658,550.6,555.46,0,4.86,1440.45,1461.65,0,21.2,Simpler Energy,38.83,1 Year Fixed Loyalty,51.29,Simpler Energy,83.57,1 Year Fixed Loyalty,101.02,A,1295,N/A,Simpler Energy,On Demand,A,20188.69,N/A,Simpler Energy,,1st January 2025,26.06,1991.05,2017.11
_C,21395718,21395718,0.462,0.4619,0.2703,0.2743,0,0,0,0,0,0,0.3631,0.363,0.0664,0.0674,496.74,501.54,0,4.8,260.69,262.68,0,1.99,Simpler Energy,33.6,1 Year Fixed Loyalty,45.33,Simpler Energy,22.25,1 Year Fixed Loyalty,37.78,A,1214,N/A,Simpler Energy,On Demand,A,1931.25,N/A,Simpler Energy,,1st January 2025,6.79,757.43,764.22
_B,23503556,23503556,0.629,0.629,0.2501,0.2538,0,0,0,0,0,0,0.3632,0.3631,0.0641,0.0651,642.75,648.82,0,6.07,574.29,581.49,0,7.2,Simpler Energy,42.91,1 Year Fixed Loyalty,58.6,Simpler Energy,40.11,1 Year Fixed Loyalty,56.17,A,1652,N/A,Simpler Energy,On Demand,A,6896.58,N/A,Simpler Energy,,1st January 2025,13.27,1217.04,1230.31
_D,21737580,21737580,0.7398,0.7397,0.2671,0.2711,0,0,0,0,0,0,0.3631,0.3631,0.0653,0.0664,570.55,575,0,4.45,414.63,419.17,0,4.54,Simpler Energy,37.51,1 Year Fixed Loyalty,48.43,Simpler Energy,30.61,1 Year Fixed Loyalty,46.39,A,1125,N/A,Simpler Energy,On Demand,A,4319.51,N/A,Simpler Energy,,1st January 2025,8.99,985.18,994.17
